id,activity_type,date,time_spent
4422851,join_group,"February 22,2022",0
5586629,enter_group,"February 16,2022",0
1123122,join_session_replay - Scheduled 1:n,"February 16,2022",18.29758295
989699,join_session_live - Scheduled 1:n,"January 17,2022",97.0323413
2332139,join_session_live - Scheduled 1:n,"February 16,2022",96.89979566
5293029,join_session_replay - Scheduled 1:n,"February 19,2022",29.29204014
7039686,join_session_live - Scheduled Competition,"February 19,2022",198.0334525
7461502,join_session_live - Scheduled Competition,"February 19,2022",191.3277897
199086,join_session_live - Scheduled 1:n,"February 20,2022",96.88529117
5157849,join_group,"February 25,2022",0
8315044,join_group,"February 16,2022",0
337507,join_group,"February 16,2022",0
7782615,exit_group_section - post_details,"February 20,2022",0
8685354,join_group,"February 16,2022",0
4746314,join_session_live - Scheduled 1:n,"January 17,2022",96.84820023
8843623,homework,"February 11,2022",3.669279708
8178968,join_session_replay - Scheduled 1:n,"February 19,2022",15.5107042
7080910,homework,"January 20,2022",3.510644886
7080910,join_session_live - Scheduled Competition,"February 16,2022",196.4715695
7080910,join_session_replay - Scheduled 1:n,"February 16,2022",28.88610193
680222,Live Practice Game,"February 16,2022",1.214263863
7140121,join_session_live - Scheduled 1:n,"February 16,2022",96.83149808
1387944,join_session_live - Scheduled Competition,"February 19,2022",181.6764348
1504638,join_group,"January 20,2022",0
6869515,join_session_replay - Scheduled 1:n,"February 16,2022",16.30662527
367866,join_group,"January 20,2022",0
6907954,join_session_live - Scheduled 1:n,"February 19,2022",96.73476457
2655737,join_group,"February 16,2022",0
3041212,join_session_live - Scheduled Competition,"January 7,2022",54.36667008
2984696,homework,"January 28,2022",0.507237415
5033179,join_group,"January 17,2022",0
5033179,join_session_live - Scheduled Competition,"January 17,2022",3.562545826
4059095,join_session_live - Scheduled 1:n,"February 16,2022",96.39530226
1955984,join_session_replay - Scheduled 1:n,"January 17,2022",5.414708705
427712,join_session_replay - Scheduled 1:n,"February 19,2022",6.514625351
3074737,join_session_replay - Scheduled 1:n,"January 4,2022",24.77805699
8770612,join_session_live - Scheduled 1:n,"February 16,2022",96.33262552
7154936,join_session_replay - Scheduled 1:n,"February 19,2022",13.28943794
7154936,quizon,"February 19,2022",0
731447,exit_group_section - post_details,"February 22,2022",0
8710028,join_group,"February 16,2022",0
1295462,homework,"February 16,2022",3.920968484
5988093,Live Practice Game,"February 16,2022",1.498448966
5988093,join_group,"February 16,2022",0
8687047,join_session_live - Scheduled 1:n,"February 16,2022",96.27596183
5988093,join_session_live - Scheduled Competition,"February 16,2022",10.51773679
3669146,join_group,"February 16,2022",0
8460011,join_session_live - Scheduled 1:n,"February 19,2022",96.16505625
1539759,join_group,"January 17,2022",0
5226121,join_session_live - Scheduled Competition,"February 16,2022",52.66279432
2212510,join_session_live - Scheduled 1:n,"February 16,2022",96.10661704
3395624,join_session_live - Scheduled 1:n,"January 7,2022",96.03538857
4144948,join_session_replay - Scheduled 1:n,"February 19,2022",1.548997124
3762746,join_group,"February 16,2022",0
8122719,exit_group_section - post_details,"February 3,2022",0
1887542,join_group,"February 16,2022",0
1887542,join_session_live - Scheduled Competition,"February 16,2022",56.48460073
4166145,Live Practice Game,"February 16,2022",0.142235587
4166145,join_session_replay - Scheduled 1:n,"February 16,2022",8.997063187
7981277,join_session_live - Scheduled 1:n,"February 16,2022",95.9459641
672508,join_session_live - Scheduled Competition,"February 25,2022",64.09721751
1391652,homework,"February 14,2022",2.742108139
5837725,join_session_replay - Scheduled 1:n,"February 19,2022",6.58974905
6483381,exit_group_section - post_details,"February 25,2022",0
249966,Live Practice Game,"February 16,2022",0.55552388
7535173,Live Practice Game,"January 21,2022",0.187862488
5647935,join_session_live - Scheduled 1:n,"February 19,2022",95.90413628
8731746,exit_group_section - post_details,"February 16,2022",0
4426835,join_session_live - Scheduled Competition,"February 16,2022",192.7231644
6413107,homework,"February 19,2022",1.405883798
6413107,join_group,"February 19,2022",0
6240180,join_session_live - Scheduled Competition,"February 22,2022",63.93528624
4783862,exit_group_section - post_details,"February 19,2022",0
6488319,join_session_live - Scheduled 1:n,"February 16,2022",95.84214238
3741734,join_session_replay - Scheduled 1:n,"February 19,2022",8.542266252
7498124,join_session_live - Scheduled 1:n,"February 20,2022",95.72056764
6878376,Live Practice Game,"February 16,2022",0.359987707
6878376,quizon,"February 16,2022",0
1491315,homework,"January 29,2022",3.55652883
7745967,join_group,"February 19,2022",0
4989604,join_session_live - Scheduled 1:n,"February 16,2022",95.65400189
8287317,join_session_live - Scheduled Competition,"January 17,2022",56.19403605
8287317,join_session_replay - Scheduled 1:n,"January 17,2022",13.09130508
3406894,join_session_live - Scheduled 1:n,"February 14,2022",95.58738537
787781,join_session_live - Scheduled 1:n,"February 16,2022",95.56231715
883233,quizon,"February 16,2022",0
1664053,join_group,"February 19,2022",0
1081636,exit_group_section - post_details,"February 16,2022",0
774602,join_group,"February 19,2022",0
14874,exit_group_section - post_details,"January 7,2022",0
7913300,join_session_replay - Scheduled 1:n,"February 19,2022",19.92658312
8874134,join_group,"February 16,2022",0
3472270,join_session_live - Scheduled 1:n,"February 20,2022",95.46486075
224608,join_group,"February 3,2022",0
3998136,join_session_replay - Scheduled 1:n,"February 19,2022",13.31197736
6508645,join_group,"February 16,2022",0
2314324,join_session_live - Scheduled 1:n,"February 14,2022",95.45249652
6508645,join_session_live - Scheduled Competition,"February 16,2022",67.0314069
6508645,join_session_replay - Scheduled 1:n,"February 16,2022",20.11049738
1116794,join_session_replay - Scheduled 1:n,"February 19,2022",11.54766589
3128815,join_group,"February 19,2022",0
3618353,join_session_live - Scheduled 1:n,"February 16,2022",95.44446946
306253,join_session_replay - Scheduled 1:n,"February 11,2022",14.50090449
3252475,join_group,"February 19,2022",0
1396493,homework,"February 25,2022",1.895841132
1396493,join_group,"February 25,2022",0
646188,join_session_live - Scheduled 1:n,"February 19,2022",95.4395438
6945399,join_session_replay - Scheduled 1:n,"January 7,2022",8.315909726
2852354,quizon,"February 16,2022",0
6483416,join_session_live - Scheduled 1:n,"February 16,2022",95.43818468
694397,join_session_live - Scheduled 1:n,"January 17,2022",95.22648736
6068899,join_session_live - Scheduled Competition,"February 16,2022",196.4001634
6342347,quizon,"January 27,2022",0
5690090,join_session_replay - Scheduled 1:n,"January 17,2022",25.97032458
4352772,exit_group_section - post_details,"January 7,2022",0
4352772,join_session_live - Scheduled Competition,"January 7,2022",70.77131103
3277955,exit_group_section - post_details,"January 17,2022",0
2883612,join_session_live - Scheduled 1:n,"February 14,2022",95.20300659
2738731,Live Practice Game,"February 16,2022",1.062112652
2738731,join_group,"February 16,2022",0
7067260,join_session_live - Scheduled 1:n,"February 16,2022",95.13388548
1741956,join_session_live - Scheduled Competition,"February 19,2022",32.04581468
5908302,join_group,"January 17,2022",0
382635,homework,"February 22,2022",2.467508142
4831992,join_session_live - Scheduled Competition,"January 17,2022",73.00436972
4831992,join_session_live - Scheduled Competition,"February 16,2022",184.9235903
1295069,quizon,"February 25,2022",0
1395923,join_session_replay - Scheduled 1:n,"February 16,2022",15.06122258
1395923,join_session_replay - Scheduled 1:n,"February 19,2022",6.273492169
1106072,Live Practice Game,"January 29,2022",0.131893487
1194900,join_group,"February 22,2022",0
3281353,quizon,"February 14,2022",0
7532143,join_session_replay - Scheduled 1:n,"February 16,2022",9.897692597
6883580,join_group,"February 19,2022",0
1737415,join_session_live - Scheduled Competition,"January 17,2022",5.355889608
644306,join_session_replay - Scheduled 1:n,"February 14,2022",3.753598355
1154379,homework,"February 2,2022",2.760530815
7183694,join_session_live - Scheduled 1:n,"February 16,2022",95.0806726
7207064,join_session_replay - Scheduled 1:n,"February 16,2022",28.11556235
8308925,join_session_replay - Scheduled 1:n,"February 19,2022",6.032194524
383427,homework,"January 7,2022",4.096300454
3051545,join_session_live - Scheduled Competition,"February 16,2022",29.26046362
6237608,join_session_replay - Scheduled 1:n,"January 29,2022",7.608209938
3284274,homework,"February 19,2022",0.644016732
3279998,homework,"February 16,2022",4.420500175
3279998,join_session_replay - Scheduled 1:n,"February 16,2022",12.96667006
7623585,quizon,"February 2,2022",0
3925050,join_session_live - Scheduled 1:n,"February 16,2022",95.04221853
874554,join_session_live - Scheduled Competition,"February 16,2022",53.4409836
874554,join_session_live - Scheduled Competition,"February 19,2022",79.71611357
3843558,join_session_live - Scheduled 1:n,"February 16,2022",94.97044542
3400432,join_session_live - Scheduled 1:n,"February 19,2022",94.96237008
2883612,join_session_live - Scheduled Competition,"February 2,2022",58.96305601
5715869,join_session_live - Scheduled 1:n,"February 16,2022",94.96121582
2561518,join_session_replay - Scheduled 1:n,"January 17,2022",16.51381839
3323011,join_group,"February 16,2022",0
4196935,quizon,"February 25,2022",0
8597375,join_session_replay - Scheduled 1:n,"February 16,2022",28.99090016
8175133,join_session_live - Scheduled Competition,"January 7,2022",9.863042792
2588311,Live Practice Game,"January 17,2022",1.993872851
8281490,join_session_live - Scheduled Competition,"February 16,2022",40.94448295
4470656,homework,"February 16,2022",2.027432017
4470656,join_session_live - Scheduled Competition,"February 16,2022",63.21226253
671868,join_session_replay - Scheduled 1:n,"February 16,2022",16.63453003
4410384,homework,"February 19,2022",0.629501453
3089755,join_session_live - Scheduled 1:n,"January 17,2022",94.88130218
8440128,join_session_live - Scheduled 1:n,"January 29,2022",94.85962873
3335885,join_session_replay - Scheduled 1:n,"February 19,2022",4.796540605
4149547,join_session_live - Scheduled 1:n,"January 20,2022",94.82832012
1141772,join_session_live - Scheduled Competition,"January 21,2022",76.44301151
3400432,join_group,"February 19,2022",0
2073721,join_session_live - Scheduled 1:n,"February 16,2022",94.7165605
6609455,join_session_replay - Scheduled 1:n,"February 19,2022",3.623126021
2856632,homework,"February 16,2022",2.31975307
1359312,join_session_live - Scheduled Competition,"February 16,2022",50.77969911
5881225,join_session_live - Scheduled 1:n,"January 17,2022",94.63464241
6704079,enter_group,"February 19,2022",0
6704079,exit_group_section - post_details,"February 16,2022",0
2557113,join_session_live - Scheduled 1:n,"February 19,2022",94.61920005
7799045,homework,"February 22,2022",4.844250151
268324,enter_group,"February 16,2022",0
268324,homework,"February 16,2022",4.389598296
1458675,Live Practice Game,"February 16,2022",0.327586816
1458675,join_group,"February 16,2022",0
1458675,join_session_live - Scheduled Competition,"February 20,2022",7.964909478
3096003,exit_group_section - post_details,"February 20,2022",0
3096003,join_session_live - Scheduled Competition,"February 19,2022",7.23094128
1127579,join_session_replay - Scheduled 1:n,"February 14,2022",7.519263836
7577660,homework,"February 16,2022",0.710270276
1865391,exit_group_section - post_details,"February 16,2022",0
3058720,enter_group,"February 19,2022",0
1900127,join_session_live - Scheduled 1:n,"February 19,2022",94.55343123
1485763,join_session_replay - Scheduled 1:n,"February 19,2022",17.30353348
4201668,Live Practice Game,"February 19,2022",0.416074358
4201668,exit_group_section - post_details,"January 29,2022",0
4201668,exit_group_section - post_details,"February 19,2022",0
4201668,quizon,"February 19,2022",0
3023122,homework,"February 16,2022",4.947265592
